0.000000000000000000e+00,4.652643708896478381e-02,9.007569664862179193e-02,1.313130546389422448e-01,1.698764992204820912e-01,2.093374734243979851e-01,2.525052153460842774e-01,2.826134019889833815e-01,3.467642405998220267e-01,5.853926501415850359e-01
2.082696686419693508e-02,6.706055336565981684e-02,1.098816739224574984e-01,1.504949579864181541e-01,1.896475320630154615e-01,2.304887913699918411e-01,2.767367256301185852e-01,3.096859437894858846e-01,3.805269181017150726e-01,6.099293151652349643e-01
4.067379529829463075e-02,8.626826451286132014e-02,1.285496628253589568e-01,1.691724761479850569e-01,2.092707049984323386e-01,2.523168283622485575e-01,3.024685706018763187e-01,3.389470307823298501e-01,4.150704740688591632e-01,6.310361521360152715e-01
6.003274018388278510e-02,1.047970698811285378e-01,1.468163414548142864e-01,1.881530822036453221e-01,2.296595601297203304e-01,2.759645479839047399e-01,3.309933874438186763e-01,3.713029991016794651e-01,4.510585483255329931e-01,6.503484811713621250e-01
7.760111384076827379e-02,1.221721142555366596e-01,1.643338291250616701e-01,2.064969639630353238e-01,2.505189399189481358e-01,3.004797457793803583e-01,3.605182947535385263e-01,4.034357658921650103e-01,4.838341411104082335e-01,6.679677099723191347e-01
9.468058136821062842e-02,1.389748240691882075e-01,1.816931713857933284e-01,2.256696898385923133e-01,2.725196006034643625e-01,3.270505539103896742e-01,3.918389433910693942e-01,4.366205903004691247e-01,5.147757958465664085e-01,6.853272060748718530e-01
1.111814812742842884e-01,1.556606916997989587e-01,1.994490962373534904e-01,2.457721838068587517e-01,2.963736307848144347e-01,3.557208525066939409e-01,4.242045803901811074e-01,4.690721609550213000e-01,5.443644211333268368e-01,7.029609401035503691e-01
1.319719638789446370e-01,1.772698561479879864e-01,2.234292821174448940e-01,2.740796588755741170e-01,3.304884748646856885e-01,3.957708813541542803e-01,4.659892442965676285e-01,5.087583841409590857e-01,5.749411420553284247e-01,7.265110175953007898e-01
1.461123071732701728e-01,1.925957357962901628e-01,2.410347404061625454e-01,2.954197041744213714e-01,3.561864244830894033e-01,4.243811291955145726e-01,4.936116236014380654e-01,5.337701029606349845e-01,5.947651557659625610e-01,7.469966088477820731e-01
1.534385738992835591e-01,2.005021234337414637e-01,2.501308021994873565e-01,3.062924196266906263e-01,3.690080056722622182e-01,4.381247818887936130e-01,5.063267028183376928e-01,5.451042145366353786e-01,6.036206744890783016e-01,7.563347667741951996e-01
