0.000000000000000000e+00,3.127781077569888324e-02,6.510552166353347769e-02,1.009675477899548979e-01,1.396027858260852628e-01,1.780223477519584097e-01,2.170072370109991378e-01,2.549799101888061137e-01,2.905278024170975804e-01,3.241903127601534762e-01,3.556269567277637877e-01,3.858652850506726351e-01,4.139735176548466344e-01,4.423970981473199782e-01,4.720835985725559958e-01,4.895639058829027168e-01,5.351195099406724776e-01,7.146575643318497928e-01
1.369108106970732749e-02,4.714586435475570658e-02,8.324113058479760963e-02,1.211628570195849297e-01,1.619703580949670430e-01,2.023070835777682763e-01,2.417578249575472737e-01,2.797298013015434015e-01,3.149774792767808806e-01,3.476998193845527441e-01,3.779589553766138366e-01,4.073931242635005501e-01,4.353157011501928575e-01,4.637253851759406964e-01,4.941593376431031026e-01,5.125559981790035469e-01,5.614596148857781133e-01,7.540656292403058458e-01
2.739272815516904935e-02,6.286999709361308641e-02,1.012107813326567074e-01,1.413127293046814725e-01,1.839852998604041279e-01,2.254020689813474865e-01,2.651439021087304004e-01,3.026792270158653597e-01,3.371260654683429503e-01,3.689161459092944462e-01,3.985120922783312314e-01,4.274499275704747858e-01,4.554069722738606218e-01,4.843467345507604382e-01,5.160214805124268000e-01,5.358550004779651932e-01,5.888453249606688811e-01,7.885643407011843076e-01
4.116614717984293931e-02,7.848824781250361704e-02,1.189989184042648390e-01,1.613741291004521794e-01,2.055154635039294908e-01,2.472290795596745194e-01,2.870931772937246884e-01,3.239558228567592235e-01,3.572974335316309591e-01,3.883977672365918621e-01,4.176771464718756488e-01,4.466179606484875775e-01,4.746874565637199672e-01,5.047386667436291052e-01,5.384292348103169035e-01,5.600541159724602425e-01,6.181177004954299115e-01,8.180200672500492765e-01
5.514480432118475800e-02,9.452111176944334725e-02,1.371219688050582253e-01,1.811972793240219093e-01,2.263071863908902581e-01,2.681464002074037123e-01,3.074524770511817273e-01,3.435155751162217164e-01,3.761173084013518797e-01,4.066568021317599757e-01,4.358399026345056160e-01,4.649974165686708294e-01,4.939291042086725869e-01,5.255378639032964871e-01,5.616276253398222451e-01,5.852502484727106769e-01,6.475940712580464664e-01,8.422197107429942875e-01
6.879416014447360672e-02,1.104614961433029313e-01,1.550330599638196083e-01,2.002497457598213793e-01,2.459278235214213126e-01,2.878712668794651819e-01,3.263277877004986949e-01,3.616143056588011495e-01,3.938433328286871649e-01,4.241821073181138435e-01,4.532487538121949822e-01,4.831452903292490775e-01,5.136569550104826964e-01,5.470130570567502959e-01,5.859314414613144839e-01,6.114793013064929728e-01,6.778699991641449207e-01,8.631229183717565867e-01
8.257871618626161370e-02,1.260303083639948696e-01,1.723224607380826612e-01,2.188704952998482833e-01,2.647760440454519082e-01,3.060423653767402885e-01,3.440358997322210954e-01,3.786937074203411413e-01,4.104551515476508872e-01,4.407866755734975994e-01,4.705904344095973024e-01,5.015020567047985267e-01,5.333740210090375244e-01,5.692082011192739488e-01,6.111430921997764720e-01,6.387387126892865030e-01,7.075848055052905705e-01,8.812286104252036179e-01
9.644946000831500221e-02,1.418268786280762750e-01,1.896325995206852577e-01,2.368925871091434043e-01,2.827274318398564912e-01,3.234143456741896960e-01,3.607410598117091749e-01,3.949723911415906619e-01,4.265978363682738639e-01,4.572347544288838384e-01,4.878731503360264066e-01,5.203496187053076039e-01,5.542382677898135546e-01,5.928018090079680835e-01,6.375133296329430488e-01,6.666675488257632898e-01,7.360523663395788230e-01,8.971685112660788830e-01
1.100569645459689161e-01,1.574446106858140570e-01,2.065106102309713643e-01,2.539262060769014728e-01,2.994676986636828353e-01,3.398181638689360407e-01,3.763739388307109079e-01,4.102951351706793370e-01,4.422812287617490234e-01,4.736118281431206944e-01,5.051815555481893316e-01,5.394331330159911619e-01,5.759494161895715170e-01,6.171768742627400384e-01,6.641148088902421032e-01,6.938622507006433349e-01,7.619023706117444839e-01,9.113952506246812968e-01
1.237785398246711716e-01,1.728054973838671071e-01,2.228460860415458211e-01,2.704097229311865913e-01,3.155026884126221343e-01,3.552941031953638640e-01,3.914556676495735688e-01,4.253844283950402039e-01,4.577593947634053806e-01,4.901244422813617052e-01,5.232965130970658185e-01,5.596257058837834641e-01,5.988233493339045754e-01,6.423496272264421769e-01,6.909270329250657428e-01,7.207938787360321786e-01,7.856947751613506670e-01,9.246320853193591427e-01
1.376304772730809201e-01,1.879124436770124862e-01,2.386613907536591361e-01,2.863947466724688362e-01,3.309642113303130073e-01,3.700832732290078586e-01,4.062776148874222004e-01,4.403993080051242792e-01,4.733000115421385767e-01,5.069135386490045692e-01,5.423191736325585488e-01,5.812858614882442376e-01,6.225258454876240188e-01,6.681104611060995069e-01,7.170858651779904447e-01,7.463280832090050110e-01,8.075832401262263982e-01,9.373332661316365888e-01
1.517311804039646883e-01,2.033018095485119858e-01,2.544793651166721848e-01,3.019797862137720834e-01,3.460058715969311360e-01,3.847447908771389757e-01,4.209207849831551052e-01,4.556066845065747661e-01,4.896499929165854526e-01,5.251181542345276787e-01,5.627760530448813192e-01,6.043519543203615951e-01,6.479023092193166855e-01,6.949998359777603829e-01,7.428758292521275841e-01,7.706503553272743279e-01,8.274168376932509172e-01,9.497084306347460814e-01
1.654357133848060879e-01,2.183240433058421526e-01,2.697784912774765509e-01,3.167803080246479608e-01,3.603574558856570964e-01,3.991024977967970733e-01,4.354396320274273591e-01,4.709819563159711731e-01,5.067785637710334745e-01,5.442812920437165580e-01,5.843021180887056909e-01,6.284044290800122612e-01,6.741990589456301475e-01,7.208256116680844539e-01,7.672079034332786041e-01,7.931682368766952429e-01,8.452911629586103981e-01,9.621921034821880880e-01
1.793070990167639212e-01,2.330557605236172336e-01,2.846313492260452160e-01,3.313226330837766298e-01,3.745962079581024451e-01,4.133695229206325039e-01,4.503513053570121771e-01,4.871353507219731704e-01,5.247761020291962231e-01,5.648320635002672674e-01,6.075442134221745727e-01,6.540954892954149447e-01,7.004321880391252142e-01,7.459036339904967505e-01,7.897039649009128803e-01,8.137743138738495752e-01,8.621213300862087259e-01,9.753268526753322565e-01
1.932461289656981773e-01,2.477636298983849905e-01,2.993411619801926160e-01,3.457693783628114637e-01,3.889257855591179425e-01,4.279718625607082383e-01,4.659520203601897892e-01,5.043926541655632256e-01,5.443640093628494547e-01,5.872196129452214031e-01,6.325201876801128664e-01,6.806144052328324534e-01,7.264740059579907205e-01,7.703944251122804010e-01,8.106738429095167175e-01,8.328898080859178377e-01,8.783938529521972960e-01,9.894874039307627323e-01
2.116885479231855605e-01,2.668535915316874729e-01,3.183901896298860779e-01,3.646800964536446865e-01,4.080018983168846036e-01,4.479593384715005455e-01,4.879836210878672476e-01,5.295245398048802343e-01,5.732244133006333398e-01,6.200881954984011069e-01,6.687196894403527603e-01,7.172618624681579291e-01,7.609926887306086574e-01,8.006734966824736732e-01,8.374931461388513965e-01,8.574273383894732703e-01,8.978080505507195497e-01,1.009995094032904106e+00
2.235162906879849809e-01,2.791542402611376095e-01,3.306453192690709808e-01,3.770780604997348573e-01,4.208286132237085142e-01,4.618416893534003642e-01,5.036228093483512414e-01,5.477406126295349953e-01,5.943014688203678286e-01,6.437057315534350233e-01,6.931526894294099961e-01,7.409346006688912745e-01,7.822030325244850868e-01,8.192454993726562273e-01,8.535381097873826484e-01,8.722331064015689250e-01,9.104630649381267871e-01,1.027298634734767901e+00
2.302707904677794848e-01,2.861058642469661017e-01,3.375604546217297330e-01,3.839528058038499392e-01,4.278813925108919669e-01,4.695039232077796720e-01,5.123919595537050897e-01,5.577324274493310474e-01,6.057458925509842107e-01,6.561697722464649996e-01,7.057785666429419180e-01,7.527845871853902082e-01,7.928319772800636045e-01,8.285545981078032973e-01,8.618043648432152093e-01,8.798501909188798376e-01,9.166809329361484959e-01,1.035465038422584527e+00
