9.337684267688133311e-01,8.892896178420907072e-01,8.461849839284024677e-01,8.134620967294825533e-01,7.993473601718117383e-01,8.062158996680552914e-01,8.379715806076422080e-01,8.722866730814223812e-01,9.440087443048685856e-01,7.765562695754404388e-01
9.137278462289826209e-01,8.677840439166226716e-01,8.292030435607727901e-01,8.052920116231196968e-01,8.028628106331873182e-01,8.229954710600126955e-01,8.683798736229252357e-01,9.081454100255650363e-01,9.725899803711459679e-01,7.290998969669147955e-01
8.932983839843662288e-01,8.489945213382728006e-01,8.170107643746215009e-01,8.033141724497178116e-01,8.131485977296026846e-01,8.464880608780126492e-01,9.025571362289857014e-01,9.431643839584439304e-01,9.834655197950539218e-01,6.938561431272297630e-01
8.732480485692307726e-01,8.332530081515925335e-01,8.098064232977869592e-01,8.080465910613304770e-01,8.303477043885328923e-01,8.764245214366684911e-01,9.377726429130416319e-01,9.712695337109401583e-01,9.716697541511284397e-01,6.695205592446719089e-01
8.560402569944358664e-01,8.219378425825069057e-01,8.081759880027746812e-01,8.179319787327622437e-01,8.531022178690004232e-01,9.081586074282378407e-01,9.657049615335311366e-01,9.830825522042726528e-01,9.409459813757926616e-01,6.568273222932132782e-01
8.412253938252218788e-01,8.147671256983372023e-01,8.115689774237493381e-01,8.340524646825329125e-01,8.801346422545425208e-01,9.397626286438197640e-01,9.819354205563149973e-01,9.763970875061137589e-01,8.964662519492577752e-01,6.543289152553295462e-01
8.295179751924903755e-01,8.120546520744372776e-01,8.203614822696980724e-01,8.553473778946160122e-01,9.103211128002615116e-01,9.662250294115001248e-01,9.813069330768972032e-01,9.509634737365429968e-01,8.441661035018391823e-01,6.623055771877766063e-01
8.201633701727019110e-01,8.163479874383977597e-01,8.407918171766375348e-01,8.909949885562101768e-01,9.496578741607325513e-01,9.839789714427559231e-01,9.526629895880006638e-01,8.964501022314774747e-01,7.842350709938364917e-01,6.895491570908587331e-01
8.174626372956840248e-01,8.237945997728620684e-01,8.593424757791836566e-01,9.172223106035946039e-01,9.707741256436035471e-01,9.799101696332842559e-01,9.184599432024106447e-01,8.532976196221232490e-01,7.476387398058661482e-01,7.235995628618524522e-01
8.162024934259347608e-01,8.275372113966718013e-01,8.682158488600674184e-01,9.286398737343380949e-01,9.774203741473236340e-01,9.731863555731202764e-01,9.000982344765803278e-01,8.332828784652286380e-01,7.327919287465318732e-01,7.397845668629988714e-01
